Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
Roger de Lluria 16 18 Eixample 08010 Barcelona Spain,229,7/12/2016,8.9,Negresco Princess 4 Sup, United Kingdom , Price of drinks at the bar was a little high and the bed wasn t as comfortable as we expected,21,2369, Staff were very helpful and friendly Location of,9,5,9.6,"[' Leisure trip ', ' Couple ', ' Basic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",387 day,41.3905166,2.1725643
31 34 Queen s Gate Kensington and Chelsea London SW7 5JA United Kingdom,524,5/3/2017,8.2,The Queens Gate Hotel, South Africa , The hot breakfast could have been fresh by order instead of sitting congealing eggs in particular under covers ,20,2516, Only ate breakfast there Was fairly good not excellent tho ,12,8,8.3,"[' Leisure trip ', ' Couple ', ' Standard Queen Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",92 days,51.4981225,-0.1799693
372 Strand Westminster Borough London WC2R 0JJ United Kingdom,2288,6/27/2017,8.1,Strand Palace Hotel, United Kingdom , No network reception in room Lifts were very busy in morning which was a problem as my daughter is disabled ,22,9568, Lovely building Good breakfast,5,8,8.8,"[' Leisure trip ', ' Group ', ' Standard Twin Room ', ' Stayed 2 nights ']",37 days,51.5110993,-0.1208673
Avenida Diagonal 1 Sant Mart 08019 Barcelona Spain,396,10/23/2015,8.3,Barcelona Princess, Slovakia , Temperature in the building Guests should have the option change temperature I just now have a sore throat because of this ,23,4293, Very nice hotel beautiful view with pool 1 issue was the temperature the whole building is set up to 21 C but I was feeling cold and could not change the temperature Otherwise nice hotel ,37,6,6.3,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ']",650 day,41.4109715,2.2186535
Passeig de Sant Antoni 36 40 Sants Montju c 08014 Barcelona Spain,42,9/20/2016,8.0,AC Hotel Sants a Marriott Lifestyle Hotel, Switzerland , Breakfast too expensive,4,575, Fast service,3,6,9.6,"[' Leisure trip ', ' Couple ', ' Double Room with City View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",317 day,41.3775577,2.1384686
60 Pentonville Road Islington London N1 9LA United Kingdom,685,3/8/2016,8.6,DoubleTree by Hilton London Islington, Ireland ,No Negative,0,2277, comfortable Bright Room,4,5,9.6,"[' Leisure trip ', ' Family with older children ', ' Deluxe Queen Room ', ' Stayed 2 nights ']",513 day,51.5322508,-0.1095714
Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,7/4/2016,8.4,Hampton by Hilton Amsterdam Centre East, Hong Kong , location,2,1769, room size and cleanliness,5,1,8.8,"[' Leisure trip ', ' Group ', ' Twin Room Non Smoking ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",395 day,52.3714428,4.9346331
8 Northumberland Avenue Westminster Borough London WC2N 5BY United Kingdom,409,6/24/2016,8.3,The Grand at Trafalgar Square, United Kingdom , Whoops all on wrong side so guess this won t be included and i m not writing it all again Situation and friendly staff only REAL good points Room had problems with key and 9th floor so a real PAIN having to go down to reception Not great cleaning view not great smelt funny in room and could not open window more in the column pop ,68,1592, We forgot to take do not disturb sign off the door and bed room not serviced i apologised and asked for towels i told them don t worry about making the bed they didn t ha my own fault NO BATH we were told they had smoking rooms by your company wron they have no facilities THEREFORE CIGERETTE ENDS ALL AROUND THE FRONT STEPS not good AND I M A SMOKER BUTI USED THE BIN PROVIDED BUT THEY SHOULD NOT ALLOW A PARTY FROM A PRIVATE ROOM TO SPILL OUT AND YOUNG PEOPLE SAT ON STEPS WITH GLASSES SMOKING AND A BIT ROWDY i don t sleep well so i came down to get air as WINDOWS DO NOT OPEN and felt very uncomfortable Our room had dust on top of microwave and not that well cleaned i had to ask for sugar not refilled The view was supposed to be the best room as it was our wedding anniversary we could see Big Ben etc but more the air conditioning units again Not Great Our key for our room 4 times we had to return to reception they gave us a free breakfast oH AND THE HEATERS dO NOT WORK SO BIT NIPPY AT NIGHT We paid 550 for 3 nights tHE HOTEL IS A FEW MINS WALK FROM TRAFALGAR SO AS I DONT SLEEP SPENT A FEW OURS SAT IN THERE AS NO SITTING ROOM AND I DID NOT WANT DISTURB MY HUSBAND A lot of info but all true ,254,1,7.1,"[' Leisure trip ', ' Couple ', ' Standard Queen Room ', ' Stayed 3 nights ']",405 day,51.506935,-0.126012
Schwedenplatz 3 4 01 Innere Stadt 1010 Vienna Austria,177,10/1/2016,9.1,Hotel Capricorno, United Kingdom , Staff run off their feet at breakfast time,9,2279,No Positive,0,1,9.6,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']",306 day,48.2111522,16.3788631
111 Cromwell Road Kensington and Chelsea London SW7 4DP United Kingdom,123,9/30/2016,8.6,Ashburn Hotel, Canada , Everything was perfect ,5,629, Everything about the hotel was excellent It was very comfortable and the breakfast was very good Would definitely stay there again Great location ,25,25,10.0,"[' Leisure trip ', ' Solo traveler ', ' Queen Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",307 day,51.4945522,-0.1861213
Oudezijds Voorburgwal 197 Amsterdam City Center 1012 EX Amsterdam Netherlands,144,8/25/2016,9.2,Sofitel Legend The Grand Amsterdam, United Kingdom , Bed was a little soft but that might be great for other people,14,870, Lovely atmosphere,3,2,10.0,"[' Leisure trip ', ' Family with older children ', ' Luxury Room 3 Adults with canal view ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",343 day,52.370835,4.895403
Great Cumberland Place Westminster Borough London W1H 7DL United Kingdom,1190,3/22/2016,7.5,The Cumberland A Guoman Hotel, Saudi Arabia , Everything else,3,5180, Location,2,1,4.6,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",499 day,51.514879,-0.1606501
Westminster Bridge Road Lambeth London SE1 7UT United Kingdom,2623,1/17/2016,8.7,Park Plaza Westminster Bridge London, United Kingdom ,No Negative,0,12158, Good location and facilities for overnight business stay ,10,2,10.0,"[' Business trip ', ' Solo traveler ', ' Superior Double Room with Internal View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",564 day,51.5009609,-0.1165913
Delflandlaan 15 Slotervaart 1062 EA Amsterdam Netherlands,947,7/4/2017,8.7,Best Western Premier Hotel Couture, Belgium , They do not serve alcoholic drinks not even a beer The minibar was not working in my room and after I advised the receptionist nothing changed He just told me they also have drinks available in the main hall The fitness room defective machines and depressing atmosphere Service was awful ,52,8177, The parking directly at the hotel The room was nice as was the bathroom as spacious as a squash court ,22,19,5.8,"[' Business trip ', ' Solo traveler ', ' Comfort Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",30 days,52.3511137,4.8411629
2 place Louis Armand 12th arr 75012 Paris France,224,1/4/2016,7.9,Mercure Paris Gare De Lyon TGV, Australia , Lack of proper bathroom toiletries very small thin and hard towels unpleasant toilet paper ,16,2903, Location staff generally helpful wifi good,7,11,6.7,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",577 day,48.8442949,2.3730938
18 Albert Embankment Lambeth London SE1 7TJ United Kingdom,1195,5/3/2017,8.3,Park Plaza London Riverbank, United Kingdom , More tea bags and biscuits ,7,4684, very friendly clean good location close to underground we did find the room very warm and the air conditioning wasn t any help but over all a lovely hotel would definitely go back our room was on the 8th floor nice and quiet,44,1,9.6,"[' Leisure trip ', ' Family with young children ', ' Superior Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",92 days,51.4913737,-0.1214194
Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,8/26/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station, United States of America , A dirty toilet is a definite no no The queen beds are very small you might consider not booking a one queen room for two adults And although we asked for a quiet room we heard a band playing loudly on the fabulous that s true rooftop deck And the tipsy people in the elevators on a weekend night going to the rooftop deck aren t pleasant either ,70,3911, The location is perfect next to the Central Station and on a walking distance to the old city center And an iMac in your room is awesome too But those are unfortunately the only two great things about this hotel ,42,51,6.3,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 4 nights ']",708 day,52.376752,4.904618
7 Pepys Street City of London London EC3N 4AF United Kingdom,1936,2/6/2017,8.7,DoubleTree by Hilton Hotel London Tower of London, United Kingdom ,No Negative,0,7491, The Sky Lounge was the best thing about the hotel Fantastic views Also the free cookie on check in was a nice touch Would stay again ,28,1,8.8,"[' Leisure trip ', ' Solo traveler ', ' Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",178 day,51.5108412,-0.0780581
Imperial Road Hammersmith and Fulham London SW6 2GA United Kingdom,360,4/9/2016,8.3,DoubleTree by Hilton London Chelsea, United Kingdom , The TV was at 90 degrees to the bed so you could not watch television unless you got up and got very close to the tv as small and sat in a chair ,35,1181, The breakfast was fine but not fantastic,8,1,9.2,"[' Business trip ', ' Couple ', ' Twin Room ', ' Stayed 1 night ']",481 day,51.475172,-0.1870629
18 Lodge Road Near Baker Street And Marylebone Westminster Borough London NW8 7JT United Kingdom,362,3/29/2017,8.1,Danubius Hotel Regents Park, Poland , Not being able to access from Lodge lane before check in despite pressing the buzzer ,17,1294, Very convenient for my course in St Johns Wood ten min walk Staff were consistently friendly helpful and attentive Very impressed ,23,38,10.0,"[' Solo traveler ', ' Double Room ', ' Stayed 3 nights ']",127 day,51.529257,-0.168358
130 Tottenham Court Road Camden London W1T 5AY United Kingdom,713,7/27/2017,8.3,Radisson Blu Edwardian Grafton, United Kingdom , Training spa facilities,4,2826, My room,3,1,10.0,"[' Solo traveler ', ' Business King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",7 days,51.5241386,-0.1380807
15 Montague St Bloomsbury Camden London WC1B 5BJ United Kingdom,196,3/2/2017,9.3,The Montague On The Gardens, United Kingdom , Nothing,2,931, Room fantastic staff extremely welcoming and friendly every one Couldn t do enough for us can t wait to return,21,2,10.0,"[' Business trip ', ' Couple ', ' Classic King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",154 day,51.520181,-0.1256957
20 Rue La Fayette 9th arr 75009 Paris France,90,1/10/2017,8.4,Banke H tel, United Kingdom , No tea or coffee making facilities in room,9,688, Very clean hotel and helpful staff,7,2,7.5,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",205 day,48.8735736,2.335965
113 Lambeth Rd Lambeth London SE1 7LS United Kingdom,176,4/5/2017,8.2,Novotel London Waterloo, United Kingdom , Nothing,2,1047, Quiet and comfortable hotel Within easy reach of many attractions ,12,4,10.0,"[' Leisure trip ', ' Couple ', ' Superior Premium Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",120 day,51.4948465,-0.1187481
112 boulevard de S bastopol 3rd arr 75003 Paris France,134,1/5/2016,8.3,Best Western Premier Marais Grands Boulevards, Ireland , A bit small ,5,1408, Was a great stop over place A bit small for a long stay ,15,2,7.5,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",576 day,48.8687425,2.3541761
7 Rue Magellan 8th arr 75008 Paris France,79,8/25/2015,8.7,Francois 1er, United Arab Emirates ,No Negative,0,603, Great value,3,6,9.6,"[' Business trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",709 day,48.8701887,2.2997281
30 Rathbone Street West End Westminster Borough London W1T 1LB United Kingdom,199,11/9/2015,8.3,Rathbone, Norway , Betaling for WiFi er ikke akseptabelt i 2015 Payment for Wifi is not acceptable in 2015 only free if booked on Rathbone s own internet site ,28,776, Beliggenheten Location,3,1,7.5,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']",633 day,51.5186801,-0.1354055
22 Hertsmere Road Tower Hamlets London E14 4ED United Kingdom,930,11/4/2016,8.9,London Marriott Hotel West India Quay, United Kingdom , Tables are too close in the restaurant ,9,2836, Great location large room comfortable room and great choice at breakfast ,13,19,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe King or Twin Room ', ' Stayed 1 night ']",272 day,51.5072713,-0.0211213
Via Luigi Galvani 12 Central Station 20124 Milan Italy,143,7/14/2017,8.2,Hilton Milan, Malta , having a swimming pool,5,988, Everthing was fresh and looked after,7,1,9.6,"[' Leisure trip ', ' Couple ', ' King Room with Executive lounge access ', ' Stayed 7 nights ']",20 days,45.4862032,9.200322
10 Harrington Road Kensington and Chelsea London SW7 3ER United Kingdom,220,2/21/2016,9.1,The Ampersand Hotel, United States of America ,No Negative,0,902, Super staff and excellent location Quiet rooms with quality linens and attention to detail one would expect in a boutique hotel ,23,4,10.0,"[' Leisure trip ', ' Family with older children ', ' Small Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",529 day,51.4943077,-0.1755579
Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,1172,3/24/2016,7.8,Holiday Inn London Kensington, United Kingdom , Service for wine and sandwiches at the bar was slow and yet only about six customers Also it took a long time to attract attention to pay staff walked through without looking towards customers at the tables for ages Very friendly however ,44,5945, The location Cleanliness of hotel Breakfast was excellent ,10,1,7.1,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ']",497 day,51.499981,-0.1928791
Nieuwezijdskolk 19 Amsterdam City Center 1012 PV Amsterdam Netherlands,538,11/19/2015,8.2,Inntel Hotels Amsterdam Centre, Ireland , Only stayed one night so there was nothing I can say that I didnt like,16,3342, very clean and in a great area to get around amsterdam Staff very helpful and friendly ,18,3,7.5,"[' Leisure trip ', ' Couple ', ' City Twin Room with Surprise Package ', ' Stayed 1 night ']",623 day,52.3760456,4.8943917
163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,2682,5/3/2016,7.1,Britannia International Hotel Canary Wharf, United Kingdom , The air conditioning and heating in the room didnt work and the room was like a sauna the whole time we were there even though we complained twice to reception and they said twice they would mend it and nothing happened Couldn t even just turn it off Cant open a window yourself and have to get them to open and close it but the location of the DLR made it impossible to leave it open at night ,80,9086, Good location and good budget hotel Lovely views from the bedrooms ,13,5,7.1,"[' Leisure trip ', ' Couple ', ' Standard Double Room without Window ', ' Stayed 4 nights ']",457 day,51.5019097,-0.0232208
43 Worple Road Wimbledon London SW19 4JZ United Kingdom,166,10/3/2016,8.3,The Justin James Hotel, United Kingdom , Bathroom was not clean,5,561, Bed ok shower oke,5,2,7.1,"[' Leisure trip ', ' Group ', ' Single Room with Shared Bathroom ', ' Stayed 1 night ', ' Submitted from a mobile device ']",304 day,51.4202661,-0.211268
St Katherines Way Tower Hamlets London E1W 1LD United Kingdom,950,10/2/2016,8.6,The Tower A Guoman Hotel, United Kingdom ,No Negative,0,3486, They left a complimentary bottle of wine for my 65th Birthday Very considerate Breakfast is lovely and a wide selection to suit everyone ,25,2,8.3,"[' Leisure trip ', ' Family with older children ', ' Standard Twin Room with Bridge View ', ' Stayed 2 nights ']",305 day,51.5064721,-0.0716893
151 157 City Road Shoreditch Islington London EC1V 1JS United Kingdom,1471,11/15/2015,9.1,M by Montcalm Shoreditch London Tech City, Switzerland ,No Negative,0,4802, Beautiful design Excellent tech Good air con and a great nights sleep ,14,2,9.6,"[' Business trip ', ' Solo traveler ', ' Deluxe Double ', ' Stayed 1 night ', ' Submitted from a mobile device ']",627 day,51.5278465,-0.0889473
181 Cromwell Road Kensington and Chelsea London SW5 0SF United Kingdom,275,3/15/2017,8.6,The Rockwell, Germany , After being out the whole day in London we came back to our room and it was not yet made up We got two bottles of cider in the hotel bar and took it to the room Opening it the bottle neck of one of the bottles broke so could be discussed if that was my fault I used a proper bottle opener I believe the bottle had a defect What soever they could have replaced it for free but they made us pay the exchange bottle Well it wouldn t have meant them going bankrupt And we would have been delighted of the generosity And 5 50 is quite a high price ,115,1470, Nice average hotel nothing special but clean close to underground and central located but far from the nightlife area Soho Quite good English breakfast set up as a buffet also offered continental with cereals and cold cuts like ham and cheese Very nice choice and nicely decorated There is even a restaurant in the hotel medium priced We rather experienced London and it s nightlife Very big and comfortable bed a bit on the hard side but we love that and super clean and nice bathroom Big room for London situation A very good deal Unfortunately non refundable ,100,8,8.3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",141 day,51.4948059,-0.1926525
346 348 Edgware Road Westminster Borough London W2 1EA United Kingdom,73,11/24/2015,6.6,Best Western Maitrise Hotel Edgware Road, Saudi Arabia , Disturbance uotside,3,461,No Positive,0,17,7.5,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",618 day,51.521148,-0.171346
Via Laietana 17 Ciutat Vella 08003 Barcelona Spain,177,4/24/2017,7.9,Exe Laietana Palace, Switzerland , Badly insulated against street noise breakfast wasn t great random hole in the roof where there used to be a light rattling airconditioning fan,25,2045, Central location very comfortable mattress,6,1,6.7,"[' Leisure trip ', ' Solo traveler ', ' Economy Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",101 day,41.3833541,2.1794038
Aletta Jacobslaan 7 Slotervaart 1066 BP Amsterdam Netherlands,555,9/1/2015,8.4,Corendon Vitality Hotel Amsterdam, Denmark , That i had to go home ,8,4410, Staff was very nice very friendly and very sharp on point and always attentive ,16,1,10.0,"[' Business trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 3 nights ']",702 day,52.3466449,4.8310984
Cardington Street Euston Camden London NW1 2LP United Kingdom,744,9/17/2015,8.3,Thistle Euston, United Kingdom , Its hard to find somehting I didnt like The service at the bar was really friendly and polite But there were 2 champions league games on and the bar was full They may not have antcipated this as at one point the bar staff could have done with more help But the staff were really good ,58,2474, Sam called and then emailed as I wasnt able to answer I replied and asekd for directions I got directions and a plan with local knowledge The staff on the day were really friendly and helpful ,38,1,10.0,"[' Business trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 1 night ']",686 day,51.5291423,-0.1372782
265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,4/19/2017,8.1,DoubleTree by Hilton London Docklands Riverside, Italy , Too many people Not really chic The problem of the doors so much noisy when you closed them behind you Too labyrinthic ,24,3826, The view Diff rent ,6,5,5.4,"[' Leisure trip ', ' Family with young children ', ' Queen Guest Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",106 day,51.5043483,-0.0334436
Via Albricci 2 4 Milan City Center 20122 Milan Italy,493,3/28/2016,9.0,The Square Milano Duomo, Australia , No pretty view,4,4192, New and Modern,4,1,8.3,"[' Business trip ', ' Group ', ' Executive Double or Twin Room ', ' Stayed 3 nights ']",493 day,45.4608604,9.1890215
58 Shepherds Bush Green Hammersmith and Fulham London W12 8QE United Kingdom,690,9/15/2016,8.6,Dorsett Shepherds Bush, United States of America ,No Negative,0,2890, Excellent location for exploring London yet staying away from the congestion plenty of restaurants nearby Huge Westfield Mall s a ten minute walk two Underground stations within ten minutes walking distance including one offering a fairly straight shot to Healthrow ,42,22,10.0,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 5 nights ']",322 day,51.5039399,-0.2244232
Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,1172,6/18/2017,7.8,Holiday Inn London Kensington, Jordan , The staff are rude the rooms are too small you can t lettrly wake in the room you have to jump over the bed to get to the other side the bathroom is scary I had my niece 12 years old with me and could not leave her take a shower alone also there was a mintanince on our floor 3rd and was scary to walk through with a child with me to reach my room or to go up 2 floors then come down on the staris omg that was a nightmare but I could not change because I had harry potter tour already booked and I have limited time also when I asked the consirge about under to help me get a ride to airport he is like I am sorry this is a personal use what the He means because I am not paying 60 ponds for his driver my god he should know about the common things I can t believe it and I don t recommend it at all very very very bad ,180,5945, I did not like anything about it the location you can have other hotels next door much better,19,4,3.3,"[' Leisure trip ', ' Family with young children ', ' Standard Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",46 days,51.499981,-0.1928791
108 Baker Street Westminster Borough London W1U 6LJ United Kingdom,341,1/20/2017,8.2,Park Plaza Sherlock Holmes London, United States of America ,No Negative,0,1496, It was close to the places I had to go and the overall experience was very good,18,4,10.0,"[' Leisure trip ', ' Group ', ' Executive Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",195 day,51.5209191,-0.1566567
Handelskai 269 02 Leopoldstadt 1020 Vienna Austria,239,6/22/2017,8.4,Hilton Vienna Danube Waterfront, United Kingdom ,No Negative,0,2349, Great setting Close to metro system Large rooms high quality furniture Modern look and feel to rooms ,19,18,9.2,"[' Leisure trip ', ' Couple ', ' Standard Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",42 days,48.2140659,16.4217627
39 Buckingham Palace Road Westminster Borough London SW1W 0PS United Kingdom,332,8/2/2017,8.7,Rubens At The Palace, United Kingdom , Could not be any better,6,1449, Wonderful staff attentive and helpful Especially loved the surprise birthday cake ,13,3,10.0,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1 days,51.4981471,-0.1436492
Gran Via de las Corts Catalanes 629 Eixample 08010 Barcelona Spain,67,1/7/2016,8.6,Hotel Indigo Barcelona Plaza Catalunya, Switzerland , Nothing like that ,5,802, Awesome place Happy to go once again especially the restaurant supervisor though she dosnt know English she served will and good dishes,23,2,9.6,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 2 nights ']",574 day,41.391362,2.1700953
Singel 303 309 Amsterdam City Center 1012 WJ Amsterdam Netherlands,834,4/12/2017,9.1,Hotel Esther a, United Kingdom , Too expensive and staff tried to upgrade us to a room with no external window,16,4687, Nice vibe and decor,5,4,7.5,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",113 day,52.3705447,4.8886439
151 157 City Road Shoreditch Islington London EC1V 1JS United Kingdom,1471,2/23/2017,9.1,M by Montcalm Shoreditch London Tech City, Taiwan , We arrived M hotel at 19 00 but the room still under Housekeeping ,15,4802, The spa pool is small but full function ,10,21,6.7,"[' Business trip ', ' Couple ', ' Club Twin Room ', ' Stayed 3 nights ']",161 day,51.5278465,-0.0889473
1 Addington Street Lambeth London SE1 7RY United Kingdom,1322,11/6/2016,8.4,Park Plaza County Hall London, United Kingdom , Breakfast was busy,4,6117, The staff and the hotel was simply amazing Full credit to every part of the team and management ,20,6,9.2,"[' Leisure trip ', ' Family with young children ', ' Studio Double Family ', ' Stayed 1 night ']",270 day,51.5014001,-0.1160092
Great Cumberland Place Westminster Borough London W1H 7DL United Kingdom,1190,1/8/2016,7.5,The Cumberland A Guoman Hotel, Ireland ,No Negative,0,5180, My boyfriend and I found the staff very helpful and welcoming The Location is magnificent and the hotel is very comfortable Superb for central London I have stayed several times before and have brought family and colleagues to stay as well As I write this review I am currently back in the Cumberland and have brought my parents over as well for the sales ,66,49,10.0,"[' Business trip ', ' Couple ', ' Executive King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",573 day,51.514879,-0.1606501
34 Norfolk Place Paddington Westminster Borough London W2 1QW United Kingdom,634,4/21/2016,7.9,Norfolk Towers Paddington, United Kingdom , The lift was small and slow,7,4065, The room was modern well furnished and clean,9,1,8.8,"[' Family with older children ', ' Club Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",469 day,51.5162883,-0.1721078
Plaza Paisos Catalans s n Sants Montju c 08014 Barcelona Spain,420,8/30/2016,8.6,Barcel Sants, United Kingdom , Could hear a lot of noise from outside music we playing until 3 am The floors are very thin and also noise outside the rooms is very loud Would only recommend as a business hotel or one night stop over Access to main attractions is a long walk or taxi ,52,4379, Immaculate and very clean Beautiful rooms,7,1,6.7,"[' Leisure trip ', ' Group ', ' Deluxe Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",338 day,41.3798964,2.1412433
81 103 Euston Street Camden London NW1 2EZ United Kingdom,556,2/7/2017,8.0,TheWesley, United Kingdom , The room was cold but a heater was provided The shower leaked slightly Bed very comfy ,18,2347,No Positive,0,7,7.5,"[' Leisure trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 3 nights ']",177 day,51.5265353,-0.1361682
5 rue du 8 Mai 1945 10th arr 75010 Paris France,710,8/4/2015,7.9,Holiday Inn Paris Gare de l Est, Sri Lanka , I was charged extra 16 EUR to watch the television this wasn t mentioned anyway in the Internet neither in the hotel room Kind of cheating,27,6511, Location is good,4,1,5.4,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",730 day,48.8758981,2.3590504
Van Baerlestraat 27 Oud Zuid 1071 AN Amsterdam Netherlands,115,10/11/2016,9.2,Conservatorium Hotel, China , I guess service quality in the Netherlands is below average in general so you don t expect too much even when you stayed in a hotel of which tourists commenting extraordinary or something alike Also I was told that Justin Biber was staying in the hotel at the same time so always fans waitng in front of around hotel kind of wierd ,64,592, Decor and ambience are very comtemporary and morden,9,2,5.4,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ']",296 day,52.358631,4.8786236
43 51 Wembley Hill Road Brent London HA9 8AU United Kingdom,540,10/19/2016,8.9,St George s Hotel Wembley, United Kingdom , More biscuits but who doesn t lol,8,2274, It was a one night stop for the arena and if at another gig I wouldn t hesitate to come go to St George again ,27,3,10.0,"[' Leisure trip ', ' Couple ', ' Junior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",288 day,51.5553678,-0.2864945
Royal Victoria Dock Western Gateway Newham London E16 1AL United Kingdom,879,2/5/2017,8.8,Crowne Plaza London Docklands, United Kingdom , Nothing ,3,2768, Was very modern and classy staff was all very helpful rooms were fabulous for the price room service was on point ,23,3,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",179 day,51.5083537,0.0198855
Schubertring 11 01 Innere Stadt 1010 Vienna Austria,127,8/9/2016,8.2,Hotel Am Schubertring, France , The room was way too small for 3 people,10,1259, Newly renovated beds were extra comfortable and the staff very friendly and responsive except for one guy who should not be in the hospitality business ,27,4,6.7,"[' Leisure trip ', ' Family with older children ', ' Superior Room ', ' Stayed 3 nights ']",359 day,48.2017277,16.375463
Nou de la Rambla 36 Ciutat Vella 08001 Barcelona Spain,98,1/17/2017,8.1,Onix Liceo, United Kingdom , Nothing,2,1257, Was an amazing 4 day break Perfect location staff fantastic just had to wait a while for room to be ready ,23,1,10.0,"[' Leisure trip ', ' Couple ', ' Double or Twin Room 1 2 Adults ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",198 day,41.3780229,2.1730782
5 Fairmont Avenue Canary Wharf Tower Hamlets London E14 9JB United Kingdom,620,1/6/2016,9.0,Radisson Blu Edwardian New Providence Wharf, United Kingdom , 14 per day parking charge is a bit too much this should be free or at least under 10 People would look more into staying extra days as the hotel is brilliant ,34,1974, The staff were friendly and very helpful and the breakfast and dinner was perfect i couldnt ask for anything more The rooms was very clean and comfy I actually liked everything about this hotel and the view ,39,3,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",575 day,51.5065578,-0.004514
